experiment,time_sec,event_id,agent,action,severity,operator_alert,mission_rationale,expected_operator_response,active_link,mission_impact,p95_critical_latency_sec,trusted_stale_exposure,priority_inversion_rate,related_attack_context,decision_trace_reason,safety_boundary
E5_rule_aura_tsra_r,200,def-00015,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,LTE,0.112973,2,0.125,0.0284464,active; atk-00003; queue_pressure; target=LTE || near_future; atk-00004; queue_pressure; target=LTE,emitted 2 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,205,def-00016,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,LTE,0.112639,2,0.125,0.0277778,active; atk-00003; queue_pressure; target=LTE || near_future; atk-00004; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,240,def-00017,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,LTE,0.0745913,1.75,0.0625,0.023766,active; atk-00003; queue_pressure; target=LTE || active; atk-00004; queue_pressure; target=LTE || near_future; atk-00005; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,245,def-00018,TSRA-R,priority_reroute,medium,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,LTE,0.0736488,1.65,0.0625,0.0232143,active; atk-00004; queue_pressure; target=LTE || near_future; atk-00005; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,265,def-00019,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,LTE,0.105899,1.45,0.125,0.0216306,active; atk-00004; queue_pressure; target=LTE || active; atk-00005; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,270,def-00020,TSRA-R,priority_reroute,medium,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,LTE,0.105722,1.45,0.125,0.0212766,active; atk-00004; queue_pressure; target=LTE || active; atk-00005; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,275,def-00021,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,LTE,0.1052,1.4,0.125,0.0209003,active; atk-00004; queue_pressure; target=LTE || active; atk-00005; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,295,def-00022,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,LTE,0.103872,1.3,0.125,0.0195783,active; atk-00005; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,80,def-00001,TSRA-R,ml_attack_alert,high,ML detector flags attack-like degradation probability=0.946005 above threshold=0.75.,"Open the reactive defense window so TSRA-R can apply bounded routing, freshness, and PACE actions only when attack evidence is present.","Monitor the next defense window and confirm that alerts, commands, and coordinates remain prioritized.",SATCOM,0.322963,10.1,0.125,0.340426,active; ml-atk-00001; queue_pressure; target=SATCOM || near_future; ml-atk-00002; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,80,def-00002,TSRA-R,priority_reroute,high,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,SATCOM,0.322963,10.1,0.125,0.340426,active; ml-atk-00001; queue_pressure; target=SATCOM || near_future; ml-atk-00002; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,80,def-00003,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,SATCOM,0.322963,10.1,0.125,0.340426,active; ml-atk-00001; queue_pressure; target=SATCOM || near_future; ml-atk-00002; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,80,def-00004,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,SATCOM,0.322963,10.1,0.125,0.340426,active; ml-atk-00001; queue_pressure; target=SATCOM || near_future; ml-atk-00002; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,80,def-00005,TSRA-R,pace_switch,high,PACE switch selected target=LTE; reason=SATCOM degraded beyond mission threshold.,PACE switching moves critical traffic away from the degraded active link while preserving a bounded recovery path.,Track fallback stability and watch for recovery churn or follow-on failover chasing.,SATCOM,0.322963,10.1,0.125,0.340426,active; ml-atk-00001; queue_pressure; target=SATCOM || near_future; ml-atk-00002; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,105,def-00006,TSRA-R,ml_attack_alert,high,ML detector flags attack-like degradation probability=0.951098 above threshold=0.75.,"Open the reactive defense window so TSRA-R can apply bounded routing, freshness, and PACE actions only when attack evidence is present.","Monitor the next defense window and confirm that alerts, commands, and coordinates remain prioritized.",LTE,0.220011,10.8,0.0625,0.193939,active; ml-atk-00001; queue_pressure; target=SATCOM || near_future; ml-atk-00002; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,115,def-00007,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,LTE,0.205481,10.4,0.0625,0.170213,active; ml-atk-00001; queue_pressure; target=SATCOM || active; ml-atk-00002; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,120,def-00008,TSRA-R,priority_reroute,high,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,LTE,0.19825,10.2,0.0625,0.158416,active; ml-atk-00001; queue_pressure; target=SATCOM || active; ml-atk-00002; failover_chasing; target=LTE || near_future; ml-atk-00003; queue_pressure; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,120,def-00009,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,LTE,0.19825,10.2,0.0625,0.158416,active; ml-atk-00001; queue_pressure; target=SATCOM || active; ml-atk-00002; failover_chasing; target=LTE || near_future; ml-atk-00003; queue_pressure; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,130,def-00010,TSRA-R,ml_attack_alert,high,ML detector flags attack-like degradation probability=0.971653 above threshold=0.75.,"Open the reactive defense window so TSRA-R can apply bounded routing, freshness, and PACE actions only when attack evidence is present.","Monitor the next defense window and confirm that alerts, commands, and coordinates remain prioritized.",LTE,0.176793,8.65,0.0625,0.13617,active; ml-atk-00001; queue_pressure; target=SATCOM || active; ml-atk-00002; failover_chasing; target=LTE || near_future; ml-atk-00003; queue_pressure; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,150,def-00011,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,LTE,0.190239,7.75,0.125,0.106312,active; ml-atk-00002; failover_chasing; target=LTE || near_future; ml-atk-00003; queue_pressure; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,150,def-00012,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,LTE,0.190239,7.75,0.125,0.106312,active; ml-atk-00002; failover_chasing; target=LTE || near_future; ml-atk-00003; queue_pressure; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,155,def-00013,TSRA-R,ml_attack_alert,high,ML detector flags attack-like degradation probability=0.96213 above threshold=0.75.,"Open the reactive defense window so TSRA-R can apply bounded routing, freshness, and PACE actions only when attack evidence is present.","Monitor the next defense window and confirm that alerts, commands, and coordinates remain prioritized.",LTE,0.187877,7.75,0.125,0.101587,active; ml-atk-00002; failover_chasing; target=LTE || near_future; ml-atk-00003; queue_pressure; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,160,def-00014,TSRA-R,priority_reroute,high,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,LTE,0.201798,7.75,0.125,0.0960961,active; ml-atk-00002; failover_chasing; target=LTE || active; ml-atk-00003; queue_pressure; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,160,def-00015,TSRA-R,pace_switch,high,PACE switch selected target=MESH; reason=fallback link degraded beyond mission threshold.,PACE switching moves critical traffic away from the degraded active link while preserving a bounded recovery path.,Track fallback stability and watch for recovery churn or follow-on failover chasing.,LTE,0.201798,7.75,0.125,0.0960961,active; ml-atk-00002; failover_chasing; target=LTE || active; ml-atk-00003; queue_pressure; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,180,def-00016,TSRA-R,ml_attack_alert,high,ML detector flags attack-like degradation probability=0.959167 above threshold=0.75.,"Open the reactive defense window so TSRA-R can apply bounded routing, freshness, and PACE actions only when attack evidence is present.","Monitor the next defense window and confirm that alerts, commands, and coordinates remain prioritized.",MESH,0.159966,2.8,0.125,0.0784314,active; ml-atk-00002; failover_chasing; target=LTE || active; ml-atk-00003; queue_pressure; target=LTE || near_future; ml-atk-00004; failover_chasing; target=MESH,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,180,def-00017,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,MESH,0.159966,2.8,0.125,0.0784314,active; ml-atk-00002; failover_chasing; target=LTE || active; ml-atk-00003; queue_pressure; target=LTE || near_future; ml-atk-00004; failover_chasing; target=MESH,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,185,def-00018,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,MESH,0.155665,2.35,0.125,0.0758294,active; ml-atk-00003; queue_pressure; target=LTE || near_future; ml-atk-00004; failover_chasing; target=MESH,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,190,def-00019,TSRA-R,priority_reroute,high,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,MESH,0.147949,1.45,0.125,0.0723982,active; ml-atk-00003; queue_pressure; target=LTE || near_future; ml-atk-00004; failover_chasing; target=MESH,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,205,def-00020,TSRA-R,ml_attack_alert,high,ML detector flags attack-like degradation probability=0.957447 above threshold=0.75.,"Open the reactive defense window so TSRA-R can apply bounded routing, freshness, and PACE actions only when attack evidence is present.","Monitor the next defense window and confirm that alerts, commands, and coordinates remain prioritized.",MESH,0.142014,1,0.125,0.0665281,active; ml-atk-00003; queue_pressure; target=LTE || near_future; ml-atk-00004; failover_chasing; target=MESH,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,210,def-00021,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,MESH,0.141337,1,0.125,0.0651731,active; ml-atk-00003; queue_pressure; target=LTE || active; ml-atk-00004; failover_chasing; target=MESH,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,215,def-00022,TSRA-R,priority_reroute,high,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,MESH,0.140496,1,0.125,0.0634921,active; ml-atk-00003; queue_pressure; target=LTE || active; ml-atk-00004; failover_chasing; target=MESH,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,220,def-00023,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,MESH,0.109026,1.6,0.0625,0.0613027,active; ml-atk-00003; queue_pressure; target=LTE || active; ml-atk-00004; failover_chasing; target=MESH || near_future; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,230,def-00024,TSRA-R,ml_attack_alert,high,ML detector flags attack-like degradation probability=0.934522 above threshold=0.75.,"Open the reactive defense window so TSRA-R can apply bounded routing, freshness, and PACE actions only when attack evidence is present.","Monitor the next defense window and confirm that alerts, commands, and coordinates remain prioritized.",MESH,0.144298,2,0.125,0.0577617,active; ml-atk-00003; queue_pressure; target=LTE || active; ml-atk-00004; failover_chasing; target=MESH || near_future; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,240,def-00025,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,MESH,0.108345,2,0.0625,0.0546075,active; ml-atk-00003; queue_pressure; target=LTE || active; ml-atk-00004; failover_chasing; target=MESH || near_future; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,245,def-00026,TSRA-R,priority_reroute,high,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,MESH,0.124242,2,0.0625,0.053068,active; ml-atk-00004; failover_chasing; target=MESH || near_future; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,245,def-00027,TSRA-R,pace_switch,high,PACE switch selected target=LTE; reason=fallback link degraded beyond mission threshold.,PACE switching moves critical traffic away from the degraded active link while preserving a bounded recovery path.,Track fallback stability and watch for recovery churn or follow-on failover chasing.,MESH,0.124242,2,0.0625,0.053068,active; ml-atk-00004; failover_chasing; target=MESH || near_future; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,255,def-00028,TSRA-R,ml_attack_alert,high,ML detector flags attack-like degradation probability=0.913534 above threshold=0.75.,"Open the reactive defense window so TSRA-R can apply bounded routing, freshness, and PACE actions only when attack evidence is present.","Monitor the next defense window and confirm that alerts, commands, and coordinates remain prioritized.",LTE,0.123227,2,0.0625,0.0510367,active; ml-atk-00004; failover_chasing; target=MESH || near_future; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,255,def-00029,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,LTE,0.123227,2,0.0625,0.0510367,active; ml-atk-00004; failover_chasing; target=MESH || near_future; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,270,def-00030,TSRA-R,stale_badge,high,COP stale confidence badge active; stale_ratio=0.75.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,LTE,0.191036,2,0.1875,0.0491551,active; ml-atk-00004; failover_chasing; target=MESH || active; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,275,def-00031,TSRA-R,priority_reroute,high,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,LTE,0.190591,2,0.1875,0.0482655,active; ml-atk-00004; failover_chasing; target=MESH || active; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,280,def-00032,TSRA-R,ml_attack_alert,high,ML detector flags attack-like degradation probability=0.963056 above threshold=0.75.,"Open the reactive defense window so TSRA-R can apply bounded routing, freshness, and PACE actions only when attack evidence is present.","Monitor the next defense window and confirm that alerts, commands, and coordinates remain prioritized.",LTE,0.155857,2,0.125,0.0475483,active; ml-atk-00004; failover_chasing; target=MESH || active; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,290,def-00033,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,LTE,0.155138,2,0.125,0.0461095,active; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,300,def-00034,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,LTE,0.154587,2,0.125,0.045007,active; ml-atk-00005; failover_chasing; target=LTE,detector opened or maintained defense window,"closed simulation operator alert only; no RF, exploit, or live network action"
